,DateTime,Time,EX,SYM_ROOT,BID,BIDSIZ,ASK,ASKSIZ,NATBBO_IND,QU_COND
28651,2018-01-04,09:34:36.644633,Z,AAPL,172.79,4,172.84,5,0,R
28652,2018-01-04,09:34:36.644638,Y,AAPL,172.79,1,172.84,1,0,R
28653,2018-01-04,09:34:36.649817,Z,AAPL,172.79,4,172.84,5,0,R
28654,2018-01-04,09:34:36.650007,Y,AAPL,172.79,1,172.84,1,0,R
28655,2018-01-04,09:34:36.650158,P,AAPL,172.75,2,172.83,2,0,R
28656,2018-01-04,09:34:36.659849,Q,AAPL,172.8,3,172.83,1,2,R
28657,2018-01-04,09:34:36.659903,B,AAPL,172.8,1,172.83,1,0,R
28658,2018-01-04,09:34:36.659943,B,AAPL,172.8,1,172.83,2,0,R
28659,2018-01-04,09:34:36.715914,K,AAPL,172.81,1,172.84,5,0,R
28660,2018-01-04,09:34:36.938922,B,AAPL,172.8,1,172.83,1,0,R
28661,2018-01-04,09:34:37.065147,P,AAPL,172.75,2,172.83,1,2,R
28662,2018-01-04,09:34:37.065216,Q,AAPL,172.8,3,172.84,4,0,R
28663,2018-01-04,09:34:37.065223,P,AAPL,172.75,2,172.85,2,2,R
28664,2018-01-04,09:34:37.065277,B,AAPL,172.8,1,172.85,1,2,R
28665,2018-01-04,09:34:37.065318,Q,AAPL,172.8,3,172.84,1,0,R
28666,2018-01-04,09:34:37.065357,Q,AAPL,172.8,3,172.83,1,2,R
28667,2018-01-04,09:34:37.065388,Q,AAPL,172.8,3,172.83,2,2,R
28668,2018-01-04,09:34:37.065551,Y,AAPL,172.79,1,172.85,2,0,R
28669,2018-01-04,09:34:37.065661,Z,AAPL,172.79,4,172.85,8,0,R
28670,2018-01-04,09:34:37.065668,K,AAPL,172.81,1,172.84,1,0,R
28671,2018-01-04,09:34:37.065755,K,AAPL,172.81,1,172.85,7,0,R
28672,2018-01-04,09:34:37.067283,Z,AAPL,172.79,4,172.85,5,0,R
28673,2018-01-04,09:34:37.077410,B,AAPL,172.8,1,172.83,1,0,R
28674,2018-01-04,09:34:37.077459,B,AAPL,172.8,1,172.83,2,0,R
28675,2018-01-04,09:34:37.077823,K,AAPL,172.81,1,172.84,10,0,R
28676,2018-01-04,09:34:37.077866,Y,AAPL,172.79,1,172.84,1,0,R
28677,2018-01-04,09:34:37.077952,Y,AAPL,172.79,1,172.84,2,0,R
28678,2018-01-04,09:34:37.116093,Q,AAPL,172.8,3,172.83,3,2,R
28679,2018-01-04,09:34:37.116438,Y,AAPL,172.79,1,172.84,3,0,R
28680,2018-01-04,09:34:37.166513,K,AAPL,172.81,1,172.84,4,0,R
28681,2018-01-04,09:34:37.179474,B,AAPL,172.8,1,172.83,1,0,R
28682,2018-01-04,09:34:37.179477,B,AAPL,172.8,1,172.84,1,0,R
28683,2018-01-04,09:34:37.179522,Q,AAPL,172.8,3,172.83,2,2,R
28684,2018-01-04,09:34:37.179529,B,AAPL,172.8,1,172.85,1,0,R
28685,2018-01-04,09:34:37.179810,Y,AAPL,172.79,1,172.84,2,0,R
28686,2018-01-04,09:34:37.179857,Y,AAPL,172.79,1,172.84,1,0,R
28687,2018-01-04,09:34:37.179937,Y,AAPL,172.79,1,172.85,1,0,R
28688,2018-01-04,09:34:37.179948,K,AAPL,172.81,1,172.85,7,0,R
28689,2018-01-04,09:34:37.180211,P,AAPL,172.81,1,172.85,2,0,R
28690,2018-01-04,09:34:37.180278,Q,AAPL,172.8,3,172.83,1,2,R
28691,2018-01-04,09:34:37.180284,P,AAPL,172.81,2,172.85,2,2,R
28692,2018-01-04,09:34:37.180316,P,AAPL,172.81,1,172.85,2,2,R
28693,2018-01-04,09:34:37.195483,Z,AAPL,172.79,5,172.85,5,0,R
28694,2018-01-04,09:34:37.247675,Q,AAPL,172.8,3,172.84,1,2,R
28695,2018-01-04,09:34:37.247719,Q,AAPL,172.8,3,172.85,8,2,R
28696,2018-01-04,09:34:37.247791,Q,AAPL,172.8,3,172.85,4,2,R
28697,2018-01-04,09:34:37.247806,B,AAPL,172.8,1,172.86,1,0,R
28698,2018-01-04,09:34:37.247897,Q,AAPL,172.82,1,172.85,4,2,R
28699,2018-01-04,09:34:37.247905,Q,AAPL,172.82,1,172.84,1,4,R
28700,2018-01-04,09:34:37.247928,Q,AAPL,172.82,2,172.84,1,4,R
28701,2018-01-04,09:34:37.247950,Q,AAPL,172.82,2,172.84,2,4,R
28702,2018-01-04,09:34:37.248005,Y,AAPL,172.79,1,172.86,3,0,R
28703,2018-01-04,09:34:37.248090,K,AAPL,172.81,1,172.85,2,0,R
28704,2018-01-04,09:34:37.248129,Y,AAPL,172.79,1,172.86,2,0,R
28705,2018-01-04,09:34:37.248291,K,AAPL,172.81,1,172.85,6,0,R
28706,2018-01-04,09:34:37.248293,J,AAPL,172.82,1,173.1,1,0,R
28707,2018-01-04,09:34:37.248332,K,AAPL,172.82,1,172.85,6,0,R
28708,2018-01-04,09:34:37.248394,Q,AAPL,172.82,3,172.84,2,4,R
